SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540775,KHADIM      ,B ,Q,673.05,677.90,660.00,666.90,669.00,671.30,84,634,421682.00,
540776,5PAISA      ,T ,Q,321.00,324.85,303.05,324.85,324.85,319.00,25,3091,978622.00,
540777,HDFCLIFE    ,B ,Q,441.00,441.90,427.30,430.70,430.70,436.50,2506,114030,49378321.00,
540782,SBRANDS     ,M ,Q,127.00,127.00,127.00,127.00,127.00,129.55,1,2000,254000.00,
540786,SHARIKA     ,M ,Q,48.50,48.50,48.50,48.50,48.50,48.50,1,3000,145500.00,
540787,BHARATIWIN  ,B ,Q,35.60,35.60,35.00,35.25,35.35,35.17,182,67221,2363567.00,
540789,DNAMEDIA    ,B ,Q,7.50,8.25,7.50,8.14,8.25,7.73,48,8810,69256.00,
540790,EASTERNGAS  ,SS,Q,20.90,21.90,20.90,21.90,21.90,22.00,3,202,4223.00,
540793,HHOF1140RG  ,B ,Q,9.04,9.23,9.03,9.12,9.12,9.16,23,11657,106196.00,
540794,HHOF1140RD  ,B ,Q,9.16,9.16,9.15,9.15,9.15,9.25,2,1500,13735.00,
540795,DYNAMIC     ,M ,Q,53.00,53.00,51.50,51.80,51.50,53.00,5,15000,785250.00,
